Vendor,"GRAPHTEC Corporation"
Model,"GL240"
Version,"Ver1.51  "
MaxChannel,10
WLStartCH,10
MaxLogicChannel,4
Logic/Pulse,Off,Off
TempUnit,C
Sampling interval,500ms
Total data points,6773      
Trigger,0         
Start time,2021-04-23,16:30:34
End time,2021-04-23,17:27:01
Trigger time,2021-04-23,16:30:34
AMP settings
CH,Signal name,Amp,Input,Range,Temperature Range,Filter,Span,,Unit,Color,,,Line Width
CH1," CH 1","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],28,5,6,0
CH2," CH 2","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],0,13,23,0
CH3," CH 3","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],9,22,8,0
CH4," CH 4","M",TEMP,TC_K,2000degC,Off,+200.0,+0.0,[degC],21,0,21,0
Calc settings
CH,Left term,Operator,Right term,Scaling,Span,,Unit
Data
Number,Date&Time,ms,CH1,CH2,CH3,CH4,Alarm1-10,AlarmOut
      1871,2021/04/23 16:46:09,  0,+  86.4,+  19.3,+  19.7,+  35.2,LLLLLLLLLL,LLLL
      1872,2021/04/23 16:46:09,500,+  86.5,+  19.3,+  19.7,+  35.2,LLLLLLLLLL,LLLL
      1873,2021/04/23 16:46:10,  0,+  86.6,+  19.4,+  19.7,+  35.3,LLLLLLLLLL,LLLL
      1874,2021/04/23 16:46:10,500,+  86.7,+  19.3,+  19.7,+  35.2,LLLLLLLLLL,LLLL
      1875,2021/04/23 16:46:11,  0,+  86.8,+  19.4,+  19.7,+  35.3,LLLLLLLLLL,LLLL
      1876,2021/04/23 16:46:11,500,+  86.8,+  19.4,+  19.7,+  35.3,LLLLLLLLLL,LLLL
      1877,2021/04/23 16:46:12,  0,+  86.8,+  19.4,+  19.7,+  35.4,LLLLLLLLLL,LLLL
      1878,2021/04/23 16:46:12,500,+  86.8,+  19.4,+  19.8,+  35.4,LLLLLLLLLL,LLLL
      1879,2021/04/23 16:46:13,  0,+  87.1,+  19.4,+  19.8,+  35.4,LLLLLLLLLL,LLLL
      1880,2021/04/23 16:46:13,500,+  85.6,+  19.4,+  19.8,+  35.4,LLLLLLLLLL,LLLL
      1881,2021/04/23 16:46:14,  0,+  84.4,+  19.4,+  19.8,+  35.4,LLLLLLLLLL,LLLL
      1882,2021/04/23 16:46:14,500,+  83.6,+  19.4,+  19.7,+  35.4,LLLLLLLLLL,LLLL
      1883,2021/04/23 16:46:15,  0,+  82.9,+  19.4,+  19.8,+  35.4,LLLLLLLLLL,LLLL
      1884,2021/04/23 16:46:15,500,+  82.3,+  19.4,+  19.8,+  35.4,LLLLLLLLLL,LLLL
      1885,2021/04/23 16:46:16,  0,+  81.8,+  19.4,+  19.8,+  35.5,LLLLLLLLLL,LLLL
      1886,2021/04/23 16:46:16,500,+  81.3,+  19.4,+  19.8,+  35.5,LLLLLLLLLL,LLLL
      1887,2021/04/23 16:46:17,  0,+  82.2,+  19.4,+  19.8,+  35.5,LLLLLLLLLL,LLLL
      1888,2021/04/23 16:46:17,500,+  83.6,+  19.4,+  19.8,+  35.4,LLLLLLLLLL,LLLL
      1889,2021/04/23 16:46:18,  0,+  84.4,+  19.4,+  19.8,+  35.4,LLLLLLLLLL,LLLL
      1890,2021/04/23 16:46:18,500,+  85.0,+  19.4,+  19.7,+  35.4,LLLLLLLLLL,LLLL
      1891,2021/04/23 16:46:19,  0,+  85.4,+  19.4,+  19.8,+  35.4,LLLLLLLLLL,LLLL
      1892,2021/04/23 16:46:19,500,+  85.7,+  19.3,+  19.7,+  35.5,LLLLLLLLLL,LLLL
      1893,2021/04/23 16:46:20,  0,+  86.1,+  19.4,+  19.7,+  35.5,LLLLLLLLLL,LLLL
      1894,2021/04/23 16:46:20,500,+  86.2,+  19.4,+  19.8,+  35.5,LLLLLLLLLL,LLLL
      1895,2021/04/23 16:46:21,  0,+  86.4,+  19.4,+  19.8,+  35.5,LLLLLLLLLL,LLLL
      1896,2021/04/23 16:46:21,500,+  86.6,+  19.4,+  19.8,+  35.6,LLLLLLLLLL,LLLL
      1897,2021/04/23 16:46:22,  0,+  86.7,+  19.4,+  19.7,+  35.6,LLLLLLLLLL,LLLL
      1898,2021/04/23 16:46:22,500,+  86.7,+  19.3,+  19.7,+  35.6,LLLLLLLLLL,LLLL
      1899,2021/04/23 16:46:23,  0,+  86.7,+  19.3,+  19.7,+  35.6,LLLLLLLLLL,LLLL
      1900,2021/04/23 16:46:23,500,+  86.8,+  19.3,+  19.7,+  35.6,LLLLLLLLLL,LLLL
      1901,2021/04/23 16:46:24,  0,+  86.8,+  19.3,+  19.7,+  35.6,LLLLLLLLLL,LLLL
      1902,2021/04/23 16:46:24,500,+  86.8,+  19.3,+  19.7,+  35.6,LLLLLLLLLL,LLLL
      1903,2021/04/23 16:46:25,  0,+  86.8,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1904,2021/04/23 16:46:25,500,+  86.8,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1905,2021/04/23 16:46:26,  0,+  86.8,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1906,2021/04/23 16:46:26,500,+  86.8,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1907,2021/04/23 16:46:27,  0,+  86.6,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1908,2021/04/23 16:46:27,500,+  86.7,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1909,2021/04/23 16:46:28,  0,+  86.7,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1910,2021/04/23 16:46:28,500,+  86.6,+  19.2,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1911,2021/04/23 16:46:29,  0,+  86.6,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1912,2021/04/23 16:46:29,500,+  86.5,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1913,2021/04/23 16:46:30,  0,+  86.5,+  19.3,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1914,2021/04/23 16:46:30,500,+  86.4,+  19.2,+  19.7,+  35.7,LLLLLLLLLL,LLLL
      1915,2021/04/23 16:46:31,  0,+  86.4,+  19.3,+  19.7,+  35.8,LLLLLLLLLL,LLLL
      1916,2021/04/23 16:46:31,500,+  86.4,+  19.3,+  19.7,+  35.8,LLLLLLLLLL,LLLL
      1917,2021/04/23 16:46:32,  0,+  86.3,+  19.3,+  19.7,+  35.8,LLLLLLLLLL,LLLL
      1918,2021/04/23 16:46:32,500,+  86.2,+  19.3,+  19.7,+  35.8,LLLLLLLLLL,LLLL
      1919,2021/04/23 16:46:33,  0,+  86.2,+  19.2,+  19.8,+  35.9,LLLLLLLLLL,LLLL
      1920,2021/04/23 16:46:33,500,+  86.1,+  19.3,+  19.8,+  35.9,LLLLLLLLLL,LLLL
      1921,2021/04/23 16:46:34,  0,+  86.1,+  19.3,+  19.8,+  36.0,LLLLLLLLLL,LLLL
      1922,2021/04/23 16:46:34,500,+  86.1,+  19.3,+  19.8,+  36.0,LLLLLLLLLL,LLLL
      1923,2021/04/23 16:46:35,  0,+  86.0,+  19.4,+  19.8,+  36.0,LLLLLLLLLL,LLLL
      1924,2021/04/23 16:46:35,500,+  86.0,+  19.4,+  19.8,+  36.0,LLLLLLLLLL,LLLL
      1925,2021/04/23 16:46:36,  0,+  85.9,+  19.4,+  19.8,+  36.0,LLLLLLLLLL,LLLL
      1926,2021/04/23 16:46:36,500,+  85.8,+  19.4,+  19.8,+  36.0,LLLLLLLLLL,LLLL
      1927,2021/04/23 16:46:37,  0,+  85.7,+  19.4,+  19.8,+  36.0,LLLLLLLLLL,LLLL
      1928,2021/04/23 16:46:37,500,+  85.7,+  19.4,+  19.8,+  36.1,LLLLLLLLLL,LLLL
      1929,2021/04/23 16:46:38,  0,+  85.7,+  19.4,+  19.8,+  36.0,LLLLLLLLLL,LLLL
      1930,2021/04/23 16:46:38,500,+  85.6,+  19.4,+  19.8,+  36.1,LLLLLLLLLL,LLLL
      1931,2021/04/23 16:46:39,  0,+  85.5,+  19.4,+  19.8,+  36.1,LLLLLLLLLL,LLLL
      1932,2021/04/23 16:46:39,500,+  85.5,+  19.3,+  19.8,+  36.0,LLLLLLLLLL,LLLL
      1933,2021/04/23 16:46:40,  0,+  85.4,+  19.4,+  19.8,+  36.1,LLLLLLLLLL,LLLL
      1934,2021/04/23 16:46:40,500,+  85.4,+  19.4,+  19.8,+  36.1,LLLLLLLLLL,LLLL
      1935,2021/04/23 16:46:41,  0,+  85.4,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1936,2021/04/23 16:46:41,500,+  85.3,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1937,2021/04/23 16:46:42,  0,+  85.1,+  19.3,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1938,2021/04/23 16:46:42,500,+  85.1,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1939,2021/04/23 16:46:43,  0,+  85.0,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1940,2021/04/23 16:46:43,500,+  85.0,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1941,2021/04/23 16:46:44,  0,+  85.0,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1942,2021/04/23 16:46:44,500,+  84.9,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1943,2021/04/23 16:46:45,  0,+  84.9,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1944,2021/04/23 16:46:45,500,+  84.8,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1945,2021/04/23 16:46:46,  0,+  84.7,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1946,2021/04/23 16:46:46,500,+  84.7,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1947,2021/04/23 16:46:47,  0,+  84.6,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1948,2021/04/23 16:46:47,500,+  84.4,+  19.3,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1949,2021/04/23 16:46:48,  0,+  84.5,+  19.4,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1950,2021/04/23 16:46:48,500,+  84.5,+  19.3,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1951,2021/04/23 16:46:49,  0,+  84.4,+  19.3,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1952,2021/04/23 16:46:49,500,+  84.4,+  19.3,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1953,2021/04/23 16:46:50,  0,+  84.4,+  19.3,+  19.8,+  36.2,LLLLLLLLLL,LLLL
      1954,2021/04/23 16:46:50,500,+  84.3,+  19.2,+  19.8,+  36.3,LLLLLLLLLL,LLLL
      1955,2021/04/23 16:46:51,  0,+  84.2,+  19.2,+  19.8,+  36.3,LLLLLLLLLL,LLLL
      1956,2021/04/23 16:46:51,500,+  84.1,+  19.2,+  19.8,+  36.3,LLLLLLLLLL,LLLL
      1957,2021/04/23 16:46:52,  0,+  84.1,+  19.2,+  19.8,+  36.3,LLLLLLLLLL,LLLL
      1958,2021/04/23 16:46:52,500,+  84.1,+  19.2,+  19.8,+  36.3,LLLLLLLLLL,LLLL
      1959,2021/04/23 16:46:53,  0,+  84.0,+  19.2,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1960,2021/04/23 16:46:53,500,+  83.9,+  19.2,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1961,2021/04/23 16:46:54,  0,+  83.9,+  19.2,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1962,2021/04/23 16:46:54,500,+  83.9,+  19.2,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1963,2021/04/23 16:46:55,  0,+  83.8,+  19.1,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1964,2021/04/23 16:46:55,500,+  83.8,+  19.2,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1965,2021/04/23 16:46:56,  0,+  83.3,+  19.2,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1966,2021/04/23 16:46:56,500,+  81.2,+  19.1,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1967,2021/04/23 16:46:57,  0,+  81.7,+  19.1,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1968,2021/04/23 16:46:57,500,+  82.1,+  19.2,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1969,2021/04/23 16:46:58,  0,+  82.4,+  19.1,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1970,2021/04/23 16:46:58,500,+  82.5,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1971,2021/04/23 16:46:59,  0,+  82.7,+  19.1,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1972,2021/04/23 16:46:59,500,+  82.7,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1973,2021/04/23 16:47:00,  0,+  82.7,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1974,2021/04/23 16:47:00,500,+  82.7,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1975,2021/04/23 16:47:01,  0,+  82.7,+  19.0,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1976,2021/04/23 16:47:01,500,+  82.8,+  19.0,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1977,2021/04/23 16:47:02,  0,+  82.7,+  19.0,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1978,2021/04/23 16:47:02,500,+  82.7,+  19.0,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1979,2021/04/23 16:47:03,  0,+  82.7,+  19.0,+  19.8,+  36.4,LLLLLLLLLL,LLLL
      1980,2021/04/23 16:47:03,500,+  82.7,+  19.0,+  19.7,+  36.4,LLLLLLLLLL,LLLL
      1981,2021/04/23 16:47:04,  0,+  82.6,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1982,2021/04/23 16:47:04,500,+  82.7,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1983,2021/04/23 16:47:05,  0,+  82.6,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1984,2021/04/23 16:47:05,500,+  82.5,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1985,2021/04/23 16:47:06,  0,+  82.5,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1986,2021/04/23 16:47:06,500,+  82.5,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1987,2021/04/23 16:47:07,  0,+  82.5,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1988,2021/04/23 16:47:07,500,+  82.4,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1989,2021/04/23 16:47:08,  0,+  82.4,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1990,2021/04/23 16:47:08,500,+  82.4,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1991,2021/04/23 16:47:09,  0,+  82.4,+  19.0,+  19.8,+  36.5,LLLLLLLLLL,LLLL
      1992,2021/04/23 16:47:09,500,+  82.3,+  18.9,+  19.8,+  36.6,LLLLLLLLLL,LLLL
      1993,2021/04/23 16:47:10,  0,+  82.3,+  18.9,+  19.8,+  36.6,LLLLLLLLLL,LLLL
      1994,2021/04/23 16:47:10,500,+  82.3,+  19.0,+  19.9,+  36.6,LLLLLLLLLL,LLLL
      1995,2021/04/23 16:47:11,  0,+  82.4,+  19.0,+  19.9,+  36.6,LLLLLLLLLL,LLLL
      1996,2021/04/23 16:47:11,500,+  82.3,+  19.0,+  19.9,+  36.6,LLLLLLLLLL,LLLL
      1997,2021/04/23 16:47:12,  0,+  82.2,+  19.0,+  19.9,+  36.7,LLLLLLLLLL,LLLL
      1998,2021/04/23 16:47:12,500,+  82.2,+  19.0,+  19.9,+  36.7,LLLLLLLLLL,LLLL
      1999,2021/04/23 16:47:13,  0,+  82.2,+  19.0,+  19.9,+  36.7,LLLLLLLLLL,LLLL
      2000,2021/04/23 16:47:13,500,+  82.2,+  19.0,+  19.9,+  36.7,LLLLLLLLLL,LLLL
      2001,2021/04/23 16:47:14,  0,+  82.2,+  19.0,+  19.9,+  36.7,LLLLLLLLLL,LLLL
      2002,2021/04/23 16:47:14,500,+  82.1,+  19.0,+  19.9,+  36.8,LLLLLLLLLL,LLLL
      2003,2021/04/23 16:47:15,  0,+  82.1,+  19.0,+  20.0,+  36.8,LLLLLLLLLL,LLLL
      2004,2021/04/23 16:47:15,500,+  82.1,+  19.0,+  20.0,+  36.8,LLLLLLLLLL,LLLL
      2005,2021/04/23 16:47:16,  0,+  82.0,+  19.0,+  19.9,+  36.8,LLLLLLLLLL,LLLL
      2006,2021/04/23 16:47:16,500,+  82.0,+  19.0,+  20.0,+  36.8,LLLLLLLLLL,LLLL
      2007,2021/04/23 16:47:17,  0,+  81.9,+  19.0,+  20.0,+  36.8,LLLLLLLLLL,LLLL
      2008,2021/04/23 16:47:17,500,+  81.9,+  19.0,+  20.0,+  36.8,LLLLLLLLLL,LLLL
      2009,2021/04/23 16:47:18,  0,+  81.9,+  19.0,+  20.0,+  36.8,LLLLLLLLLL,LLLL
      2010,2021/04/23 16:47:18,500,+  81.9,+  19.0,+  20.0,+  36.8,LLLLLLLLLL,LLLL
      2011,2021/04/23 16:47:19,  0,+  81.8,+  19.1,+  20.0,+  36.9,LLLLLLLLLL,LLLL
      2012,2021/04/23 16:47:19,500,+  81.8,+  19.1,+  19.9,+  36.9,LLLLLLLLLL,LLLL
      2013,2021/04/23 16:47:20,  0,+  81.8,+  19.1,+  20.0,+  36.9,LLLLLLLLLL,LLLL
      2014,2021/04/23 16:47:20,500,+  81.7,+  19.1,+  20.0,+  36.9,LLLLLLLLLL,LLLL
      2015,2021/04/23 16:47:21,  0,+  81.6,+  19.1,+  20.0,+  36.9,LLLLLLLLLL,LLLL
      2016,2021/04/23 16:47:21,500,+  81.6,+  19.1,+  20.0,+  36.9,LLLLLLLLLL,LLLL
      2017,2021/04/23 16:47:22,  0,+  81.6,+  19.1,+  20.0,+  36.9,LLLLLLLLLL,LLLL
      2018,2021/04/23 16:47:22,500,+  81.6,+  19.1,+  20.0,+  36.9,LLLLLLLLLL,LLLL
      2019,2021/04/23 16:47:23,  0,+  81.6,+  19.1,+  20.0,+  37.0,LLLLLLLLLL,LLLL
      2020,2021/04/23 16:47:23,500,+  81.5,+  19.1,+  20.0,+  36.9,LLLLLLLLLL,LLLL
      2021,2021/04/23 16:47:24,  0,+  81.5,+  19.1,+  20.0,+  37.0,LLLLLLLLLL,LLLL
      2022,2021/04/23 16:47:24,500,+  81.3,+  19.1,+  19.9,+  37.0,LLLLLLLLLL,LLLL
      2023,2021/04/23 16:47:25,  0,+  81.6,+  19.1,+  19.9,+  37.0,LLLLLLLLLL,LLLL
      2024,2021/04/23 16:47:25,500,+  81.2,+  19.1,+  19.9,+  37.0,LLLLLLLLLL,LLLL
      2025,2021/04/23 16:47:26,  0,+  80.7,+  19.1,+  20.0,+  37.1,LLLLLLLLLL,LLLL
      2026,2021/04/23 16:47:26,500,+  80.3,+  19.1,+  20.0,+  37.1,LLLLLLLLLL,LLLL
      2027,2021/04/23 16:47:27,  0,+  80.1,+  19.1,+  20.0,+  37.2,LLLLLLLLLL,LLLL
      2028,2021/04/23 16:47:27,500,+  79.7,+  19.1,+  20.0,+  37.2,LLLLLLLLLL,LLLL
      2029,2021/04/23 16:47:28,  0,+  79.6,+  19.1,+  20.0,+  37.1,LLLLLLLLLL,LLLL
      2030,2021/04/23 16:47:28,500,+  79.4,+  19.1,+  20.0,+  37.2,LLLLLLLLLL,LLLL
      2031,2021/04/23 16:47:29,  0,+  79.4,+  19.1,+  20.0,+  37.2,LLLLLLLLLL,LLLL
      2032,2021/04/23 16:47:29,500,+  79.3,+  19.1,+  20.0,+  37.2,LLLLLLLLLL,LLLL
      2033,2021/04/23 16:47:30,  0,+  79.3,+  19.1,+  20.0,+  37.3,LLLLLLLLLL,LLLL
      2034,2021/04/23 16:47:30,500,+  79.2,+  19.1,+  20.0,+  37.3,LLLLLLLLLL,LLLL
      2035,2021/04/23 16:47:31,  0,+  79.2,+  19.1,+  20.0,+  37.3,LLLLLLLLLL,LLLL
      2036,2021/04/23 16:47:31,500,+  79.1,+  19.1,+  20.0,+  37.3,LLLLLLLLLL,LLLL
      2037,2021/04/23 16:47:32,  0,+  79.1,+  19.2,+  20.0,+  37.3,LLLLLLLLLL,LLLL
      2038,2021/04/23 16:47:32,500,+  79.1,+  19.1,+  20.0,+  37.3,LLLLLLLLLL,LLLL
      2039,2021/04/23 16:47:33,  0,+  79.2,+  19.1,+  20.0,+  37.3,LLLLLLLLLL,LLLL
      2040,2021/04/23 16:47:33,500,+  79.2,+  19.1,+  20.0,+  37.3,LLLLLLLLLL,LLLL
      2041,2021/04/23 16:47:34,  0,+  79.3,+  19.2,+  20.0,+  37.3,LLLLLLLLLL,LLLL
      2042,2021/04/23 16:47:34,500,+  79.2,+  19.1,+  19.9,+  37.2,LLLLLLLLLL,LLLL
      2043,2021/04/23 16:47:35,  0,+  79.1,+  19.1,+  19.9,+  37.2,LLLLLLLLLL,LLLL
      2044,2021/04/23 16:47:35,500,+  79.0,+  19.1,+  19.9,+  37.2,LLLLLLLLLL,LLLL
      2045,2021/04/23 16:47:36,  0,+  79.0,+  19.1,+  19.9,+  37.2,LLLLLLLLLL,LLLL
      2046,2021/04/23 16:47:36,500,+  79.1,+  19.1,+  19.9,+  37.2,LLLLLLLLLL,LLLL
      2047,2021/04/23 16:47:37,  0,+  79.0,+  19.1,+  19.9,+  37.2,LLLLLLLLLL,LLLL
      2048,2021/04/23 16:47:37,500,+  79.3,+  19.1,+  19.9,+  37.3,LLLLLLLLLL,LLLL
      2049,2021/04/23 16:47:38,  0,+  79.2,+  19.1,+  19.9,+  37.3,LLLLLLLLLL,LLLL
      2050,2021/04/23 16:47:38,500,+  79.1,+  19.1,+  19.9,+  37.3,LLLLLLLLLL,LLLL
      2051,2021/04/23 16:47:39,  0,+  79.2,+  19.2,+  19.9,+  37.3,LLLLLLLLLL,LLLL
      2052,2021/04/23 16:47:39,500,+  79.2,+  19.2,+  19.9,+  37.3,LLLLLLLLLL,LLLL
      2053,2021/04/23 16:47:40,  0,+  79.2,+  19.2,+  19.9,+  37.3,LLLLLLLLLL,LLLL
      2054,2021/04/23 16:47:40,500,+  79.2,+  19.2,+  19.8,+  37.3,LLLLLLLLLL,LLLL
      2055,2021/04/23 16:47:41,  0,+  79.0,+  19.2,+  19.9,+  37.3,LLLLLLLLLL,LLLL
      2056,2021/04/23 16:47:41,500,+  79.0,+  19.2,+  19.9,+  37.3,LLLLLLLLLL,LLLL
      2057,2021/04/23 16:47:42,  0,+  79.1,+  19.2,+  19.9,+  37.3,LLLLLLLLLL,LLLL
      2058,2021/04/23 16:47:42,500,+  79.4,+  19.1,+  19.9,+  37.4,LLLLLLLLLL,LLLL
      2059,2021/04/23 16:47:43,  0,+  79.2,+  19.2,+  19.9,+  37.4,LLLLLLLLLL,LLLL
      2060,2021/04/23 16:47:43,500,+  79.3,+  19.1,+  19.9,+  37.4,LLLLLLLLLL,LLLL
      2061,2021/04/23 16:47:44,  0,+  79.4,+  19.1,+  19.9,+  37.5,LLLLLLLLLL,LLLL
      2062,2021/04/23 16:47:44,500,+  79.2,+  19.1,+  20.0,+  37.5,LLLLLLLLLL,LLLL
      2063,2021/04/23 16:47:45,  0,+  79.3,+  19.1,+  20.0,+  37.5,LLLLLLLLLL,LLLL
      2064,2021/04/23 16:47:45,500,+  79.3,+  19.1,+  20.0,+  37.5,LLLLLLLLLL,LLLL
      2065,2021/04/23 16:47:46,  0,+  79.4,+  19.1,+  19.9,+  37.5,LLLLLLLLLL,LLLL
      2066,2021/04/23 16:47:46,500,+  79.6,+  19.1,+  20.0,+  37.5,LLLLLLLLLL,LLLL
      2067,2021/04/23 16:47:47,  0,+  79.4,+  19.1,+  19.9,+  37.5,LLLLLLLLLL,LLLL
      2068,2021/04/23 16:47:47,500,+  79.2,+  19.1,+  20.0,+  37.6,LLLLLLLLLL,LLLL
      2069,2021/04/23 16:47:48,  0,+  79.3,+  19.1,+  20.0,+  37.6,LLLLLLLLLL,LLLL
      2070,2021/04/23 16:47:48,500,+  79.4,+  19.1,+  19.9,+  37.6,LLLLLLLLLL,LLLL
      2071,2021/04/23 16:47:49,  0,+  79.5,+  19.1,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2072,2021/04/23 16:47:49,500,+  79.4,+  19.1,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2073,2021/04/23 16:47:50,  0,+  79.4,+  19.1,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2074,2021/04/23 16:47:50,500,+  79.5,+  19.1,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2075,2021/04/23 16:47:51,  0,+  79.6,+  19.1,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2076,2021/04/23 16:47:51,500,+  79.6,+  19.2,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2077,2021/04/23 16:47:52,  0,+  79.6,+  19.1,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2078,2021/04/23 16:47:52,500,+  79.6,+  19.2,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2079,2021/04/23 16:47:53,  0,+  79.5,+  19.2,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2080,2021/04/23 16:47:53,500,+  79.5,+  19.1,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2081,2021/04/23 16:47:54,  0,+  79.6,+  19.1,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2082,2021/04/23 16:47:54,500,+  79.6,+  19.1,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2083,2021/04/23 16:47:55,  0,+  79.5,+  19.0,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2084,2021/04/23 16:47:55,500,+  79.6,+  19.0,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2085,2021/04/23 16:47:56,  0,+  79.6,+  19.0,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2086,2021/04/23 16:47:56,500,+  79.5,+  19.0,+  20.0,+  37.8,LLLLLLLLLL,LLLL
      2087,2021/04/23 16:47:57,  0,+  79.6,+  19.0,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2088,2021/04/23 16:47:57,500,+  79.8,+  19.0,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2089,2021/04/23 16:47:58,  0,+  79.8,+  19.0,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2090,2021/04/23 16:47:58,500,+  79.8,+  19.0,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2091,2021/04/23 16:47:59,  0,+  79.8,+  19.0,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2092,2021/04/23 16:47:59,500,+  79.8,+  19.0,+  20.0,+  37.7,LLLLLLLLLL,LLLL
      2093,2021/04/23 16:48:00,  0,+  79.8,+  19.0,+  20.1,+  37.8,LLLLLLLLLL,LLLL
      2094,2021/04/23 16:48:00,500,+  79.8,+  19.0,+  20.0,+  37.8,LLLLLLLLLL,LLLL
      2095,2021/04/23 16:48:01,  0,+  79.8,+  19.0,+  20.1,+  37.8,LLLLLLLLLL,LLLL
      2096,2021/04/23 16:48:01,500,+  79.8,+  19.0,+  20.1,+  37.8,LLLLLLLLLL,LLLL
